INSERT INTO tokens VALUES('J6aR9owDCNTgj13uWB4vs9rquSdmmq1WJDBWPD9kHJgW', '2uEQCWq7YKwM9EoQwxxwaTmNY31C1RiJJt8gGpB3pump', '369', '764', '129', '480', '43737.71', '138809.57', '15.08', '28789', '46609.35', '5566987', '0', '0', '0', '0', '0', '1', '3', '461', '3400', '3000', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('FTJNkWQNZykKKjYr7V52mcoGNTtEPdXNbTkD42QAyPxH', 'FT4VtCoJBe62AkRQkwGZ2kKBg3SuynFaHGZ1VYwFxVCt', '180', '567', '99', '210', '10024.07', '391834.11', '2.76', '5023708', '766378.61', '7613537954', '0', '0', '0', '0', '10', '1', '3', '462', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('3rYQMFokR2X5nbeBXzSJjB6fzmUFPpekDjYhpAac8opx', '9aXEF9SoNbaZheiVhDEu7Wrsxfz9m3cUVubv1Be1wT7v', '234', '774', '20', '71', '12757.54', '273472.93', '6.66', '2047462', '514597.85', '2286354535', '1', '0', '0', '1', '10', '1', '3', '463', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('6gofhuGYPXhEhtvK3bdzSq3AP2foKdertpW6buzdbE6A', '6QJRXGVo2AKgAh3Rqj68KKAKDc8vGBf8EdZzagZxh6oY', '282', '626', '20', '32', '57595.12', '90280.78', '-45.4', '-47.25', '167672.55', '1522401', '0', '0', '0', '0', '0', '1', '3', '464', '14299', '2900', '400', '0', '10999', '0', '0', 'Success')
INSERT INTO tokens VALUES('7GBLm4Q7MDWbiG5jWp3VeAwvgmfQASZzfhMKTdEYHfrD', '55BnYP6YhyXduV5DSkuezKjWefVzPbRTga3uHm1qsnWH', '1', '59', '5', '18', '3853.63', '43858.38', '-5.05', '15859', '78678.66', '1005598', '0', '0', '0', '0', '0', '1', '3', '496', '100', '0', '100', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('G4vUhxWzvhoTRADK9CfzmS9d8CoiKt6GQeoyPNEYJy6W', 'xuTpfp8XutwchNndaKJdxAindqCYy9JMBqPLJMmDbzQ', '49', '126', '51', '124', '1481.39', '3638.9', '-0.52', '3.25', '7673', '41194', '0', '0', '0', '0', '0', '1', '3', '498', '11500', '0', '500', '0', '11000', '0', '0', 'Success')
INSERT INTO tokens VALUES('GxduUeHpD938dSbcMTD91FXxxzcjxmNi4qwu1kxbPuPq', '6yUhqDnVfXErc3ig8eqDpJfFFaqsNhqJu4Ez4wu719At', '251', '734', '33', '66', '15450.12', '336856.61', '5.85', '1694635', '649689.32', '2745936597', '1', '0', '0', '1', '10', '1', '3', '499', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('7C3n4HFFUr7XHZpZSHLoKtpU2yDaFnJQqpe1AkBZ6E8c', '6iMxpZfwx1R2RUBhY4ARiVvF7QiUYtfNcCTESLaMpump', '23', '486', '22', '380', '8480.28', '169375.94', '22.17', '436', '82777.99', '539480', '0', '0', '0', '0', '0', '2', '3', '516', '9690', '0', '400', '0', '0', '7920', '1370', 'Failure')
INSERT INTO tokens VALUES('HZyKECSt1ujxQPoVju9SbLzKtK2uzKtrAnphkvoRRxXW', 'BvzrTfBiy8rQF5cfnxqrmbnF8GZf7DnNDP72DrFZpump', '849', '3556', '792', '3266', '170455.7', '678832.69', '-17.1', '71.77', '41385.07', '126484', '0', '0', '0', '0', '0', '2', '3', '518', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('BqZDa9wjdxWjtjSC3n1YRfM1mGnukeW1DJenpQXHnB4R', 'BgNqUsZ4SuUCtXS578ePJY622n3UhupFGjdmQpKq9QiV', '61', '110', '25', '31', '23345.16', '212256.74', '11.12', '833866', '398615.08', '1377564309', '1', '0', '0', '1', '10', '1', '3', '518', '3400', '3000', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('C5kpYXZS8Np11NqNaHETGuNFf9C8tGS9YhbC3gunTokw', '8h3yknQtEwc5tfqmqY7f7q61pqa1R66ww4hjtDA3pump', '2642', '3219', '222', '662', '116864.84', '349831.39', '25.66', '64.47', '42163.98', '135596', '1', '0', '1', '1', '500', '2', '3', '521', '400', '0', '400', '0', '0', '0', '0', 'Success')
