INSERT INTO tokens VALUES('4mWxq6cSKC1b69MWFFEh1qmgRHHXajbVnb8T8NZ1CEFd', '4zMmxWeRK2WdzXHf6HkBRF3PRnHLDe6wCqyvxupyj44e', '689', '4534', '632', '4053', '104593.71', '750261.34', '24.37', '110', '42032.68', '141946', '1', '0', '1', '1', '0', '2', '3', '1262', '400', '0', '400', '0', '0', '0', '0', '4x')
INSERT INTO tokens VALUES('jnsqvXje8UoGzMbKcMg5GZYANzeKgRRzuUXrxrgiqk8', 'DPiD2m6uWpxERD1CET2ujPMoccMJjpesG2E7PhhLQyBu', '139', '520', '76', '236', '44313.75', '415232.15', '9.99', '4870047', '700019.02', '6875522593', '0', '0', '0', '0', '0', '1', '4', '286', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('5A2XV31i5MGGyisiQgPYPT6yAqWQeVn3FLQf36RSUMsg', 'CPVGThx7SidJkAvuSAVeNhg76uZc8NeBsEoBz4YZpump', '812', '2380', '188', '758', '44654.23', '164739.82', '63.24', '206', '52122.89', '232568', '1', '0', '0', '1', '500', '2', '4', '684', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('zKb4xG1uMh96dvvzhFq13sWufzWxBqqhaH7m2Vm52Yd', '4vJ2BJxhGtTpGdYvSXmyfSBAMFwE2Gmz57G28DfQpump', '142', '721', '119', '635', '29235.05', '156529.75', '40.76', '-39.91', '22201.14', '41578', '0', '0', '0', '0', '0', '2', '4', '690', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('DYyo1PPqkEj59Q2pwdDPn7pwgVo2iuqYNLCMzXYa5G7a', '7vGQxnACKAogWbSE1uEjdPuEJ5trvqzYVzU2VW42pump', '534', '2930', '501', '2292', '79802.52', '573398.38', '57.28', '172', '55031.96', '249994', '1', '0', '1', '1', '0', '2', '4', '693', '400', '0', '400', '0', '0', '0', '0', '2x')
INSERT INTO tokens VALUES('ADmqNDx9pzPHBNwz7QMiJ9WiFcUFD3zzTzuVV6wAuw2Z', 'tCVrScUvvt1CWi2HdtDVKqH7ubEfpNPFbsHJi8kpump', '293', '1130', '307', '713', '33680.68', '143405.28', '20.43', '118', '41287.23', '146129', '1', '0', '0', '1', '500', '2', '4', '711', '400', '0', '400', '0', '0', '0', '0', '2x')
INSERT INTO tokens VALUES('5pxKCNJeWLxva8PiwtvvgzoS439bHDgbFi9hKXntekk7', 'Ew4gTH5H9Rv4sFHCTL4JmHvtV988MbSKUuKFVwMcgMZd', '16', '209', '21', '150', '2854.19', '50201.2', '0.08', '33.19', '35103.91', '107132', '0', '0', '0', '0', '0', '2', '4', '713', '8293', '0', '400', '0', '0', '6593', '1300', 'Success')
INSERT INTO tokens VALUES('D7s48HnuW246JAch1eVvk199QMjQQzRQqT9NDCM21k1H', '9DaU714ZRiTpfQCgArEDuTwBMP2QmFrfL9Bp5SNC4a5r', '162', '521', '92', '280', '41116.78', '400862.45', '9.89', '4712273', '676375.78', '6518371747', '0', '0', '0', '0', '0', '1', '4', '718', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('EierYaANgZJtsXWPAVB59iCMhANWGiDyRd97wZ66np2Y', 'EixRoyVqcVRZHv56GVhnUUjzF23shGsXJVKp2rPspump', '124', '806', '85', '693', '17282.23', '116122.54', '0.84', '-4.79', '27280.16', '63783', '1', '0', '1', '1', '0', '2', '4', '718', '400', '0', '400', '0', '0', '0', '0', '4x')
INSERT INTO tokens VALUES('HM1jTaAzYYXYpvbzV9Cfx6V3komFszwTU3ktkaAGt9VE', 'GjyqtPuvQtx5v5r2tfvUregfNptFKeCpijg8ugkhYG6f', '27', '227', '38', '170', '1966.44', '27768.34', '0.18', '24.49', '34607.58', '104417', '0', '0', '0', '0', '0', '2', '4', '719', '9075', '0', '400', '0', '0', '7375', '1300', '4x')
INSERT INTO tokens VALUES('BnC5x4yKH3feqaXpDScjpUqT9SBwguXiwDYfkd3wVHb4', '6mmcVpmHdKTxaiyWMchPw6dKX794RzDrUjH5sUf6fhXi', '543', '1668', '275', '833', '11885.12', '72576.37', '29.17', '1568884', '116014.25', '3829937439', '0', '0', '0', '0', '0', '1', '4', '724', '3400', '2900', '400', '100', '0', '0', '0', 'RSuccess')
