Item Name,Result,Liquidity,Market Cap,Price 5M,Price 1H,TXNS,Volume,Makers,Buys,Buy Vol,Buyers,Sells,Sell Vol,Sellers,Pooled Coin,Pooled SOL,Rockets,Red Flags
KOA,Success,43000,158000,-5,33.56,1874,280000,938,1279,144000,919,595,136000,398,21000,21000,93,8
ALERT,Success,8600,23000,27.92,2222,145,12000,64,100,7800,64,45,4300,35,4400,4400,0,0
KNOPY,Success,155,2100000,69.68,1373,451,197000,215,306,130000,199,145,66000,45,77000,78000,0,0
BOGGLE,Success,95000,102000,0.96,15.11,2280,338000,1205,1266,171000,1205,1014,167000,949,47000,48000,1,0
UNUSUAL,Success,207000,605400000,14.85,3800000,1349,209000,377,529,156000,377,820,52000,247,104000,104000,0,0
PROJECT89,Success,15000,6500000,-68.89,3195,9944,435000,247,4952,221000,247,4992,213000,213,7800,8000,0,0
PUFFY,Success,23000,47000,-3.74,-30.05,79,5500,54,51,1600,51,28,3900,27,11000,11000,0,0
ZEROBRO,Success,40000,138000,116,90.47,3051,268000,1376,1674,137000,1161,1377,131000,913,20000,20000,5,0
PHY/ACC,Success,31000,80000,37.99,12.55,1069,131000,522,567,66000,444,502,65000,330,15000,15000,4,0
YOLO,Success,16000,22000,11.37,-67.24,423,29000,228,234,11000,174,189,18000,159,8400,8400,2,0
TED,Success,31000,71000,-17.59,-21.31,2502,298000,935,1128,149000,835,924,149000,632,15000,15000,28,0
TDVIO,Success,6600,3400,-3,-95.33,184,19000,90,88,3600,86,96,15000,59,3300,3300,0,0
FEETCOIN,Success,7100,1700000,1.5,40.42,76,3900,63,45,2500,36,31,1400,29,6000,1000,0,0
MLM,Success,14000,15000,-4.64,-82.15,630,87000,319,342,39000,285,288,47000,234,7100,7100,3,0
BGENT,Success,7400,3900,-0.01,-96.31,375,101000,188,150,44000,130,225,57000,159,3700,3700,0,0
LUCKY,Success,18000,24000,-2.96,-69.96,733,78000,323,350,35000,231,383,43000,250,9200,9300,4,1
FLIPPRAI,Success,7700,4200,-16.89,-95.14,634,80000,341,313,33000,260,321,46000,278,3800,3900,0,0
CLEOPETRA,Success,8900,5400,-91.76,-94.68,789,194000,324,358,90000,270,431,103000,255,4400,4400,0,0
SANDY,Success,33000,11100000,49.46,94.46,29,4800,22,18,2600,14,11,2200,9,491,32000,0,0
MUSK,Success,181000,99000,5.48,18.43,95,9600,47,83,8600,46,12,1000,12,90000,90000,0,0
ROXIE,Success,17000,20000,-58.23,-81.5,2415,449000,971,1229,221000,826,1186,228000,765,8500,8500,2,0
HOLYSHIT,Success,28000,59000,-2.33,-25.93,519,54000,301,264,26000,222,255,28000,198,15000,16000,0,0
SERA,Success,12000,58000,-12.33,3156,3105,147000,2292,2588,76000,2270,517,71000,210,6300,6200,8,0
BAI16Z,Success,11000,47000,-5.3,879,626,79000,312,379,42000,279,247,37000,165,5800,5700,40,0
PERSAI,Success,292,392000,14.59,1.85,38,241,34,19,106,19,19,135,17,199,94,0,0
DEERBOOK,Success,54000,27000,-1.55,1.33,51,858,40,44,553,40,7,305,7,27000,27000,0,0
