buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
26,1186,52,1295,3982.39,290967.96,-16.58,-91.22,11280.53,7678.0,1,0,1,0,0,2,0.9158301158301159,25.793819971224757,37.89632195884345,1.4692016150039073,9.511408094435076,6.473861720067454,0.0001772966341120497,0.004076050160299436,-0.0003135053082820528,-0.004163329056169787,400,0,400,0,0,0,0,Failure
13,76,0,6,1548.82,4606.85,2.06,5.75,347099.49,178356.0,0,0,0,0,0,1,12.666666666666666,0.013272419386153521,0.025829520733813276,1.9461049249814977,4567.098552631579,2346.7894736842104,2.8810183500989875e-06,0.016497172688496476,0.001248141354721773,0.0013300448083056779,11499,0,400,100,10999,0,0,Success
282,915,281,861,79331.74,255726.1,6.93,27.78,109625.3,307743.0,1,0,0,0,0,1,1.0627177700348431,2.3327288500008665,0.8309729222110658,0.35622353717225086,119.80907103825137,336.3311475409836,9.1219818782708e-06,0.0035780469807344655,0.0001086318525954136,8.735469561111353e-05,11398,0,400,0,10998,0,0,Failure
111,1140,125,1074,14365.86,203741.86,13.81,-63.96,22563.87,31255.0,1,0,0,1,0,2,1.0614525139664805,9.029561861506913,6.518696528555431,0.7219283314669652,19.79286842105263,27.416666666666668,8.863727720466393e-05,0.005595315562545665,-0.00031392665208808835,0.0009613068761633483,400,0,400,0,0,0,0,Success
348,2122,305,1379,441182.68,5106129.33,6.02,5921.0,1108906.67,75712132.0,0,0,0,0,0,3,1.5387962291515591,4.604652012779399,0.06744136236977186,0.014646353770621595,522.5761875589067,35679.609802073515,2.705367440886617e-06,0.0004155789763358775,0.0011595867666751793,1.3645141282518161e-05,400,0,400,0,0,0,0,Failure
32,506,68,570,4104.73,97054.51,-26.99,-84.78,13775.34,11799.0,1,0,1,1,0,2,0.887719298245614,7.045525555086117,8.22565556403085,1.1675006356470887,27.22399209486166,23.318181818181817,0.0001451869790509708,0.005213565036802515,-0.0008735297308697968,-0.006575341130841737,400,0,400,0,0,0,0,Success
43,284,90,255,50406.76,238118.06,-92.82,-88.89,16673.41,17350.0,0,0,0,0,0,1,1.1137254901960785,14.281305383841698,13.72438386167147,0.9610034582132565,58.70919014084507,61.09154929577465,5.9975733818097197e-05,0.001192685678692326,-0.00037330221823577765,-0.0018414196825981275,11499,0,400,100,10999,0,0,Failure
1091,3501,168,514,189097.19,537890.11,-40.99,2751545.0,311351.82,19872996010.0,0,0,0,0,0,1,6.811284046692607,1.727595843184729,2.7066382428162124e-05,1.566708008411662e-05,88.93225364181663,5676377.037989146,3.211800721126345e-06,0.00650876440171023,5.115440772837411,-0.00021676683825920417,2400,1900,400,100,0,0,0,Success
1155,3659,797,2460,310989.53,946609.19,-14.2,412.0,135635.08,232975.0,1,0,0,1,0,1,1.4873983739837398,6.979088227027994,4.063136345101405,0.5821872733125871,37.068893140202235,63.67176824268926,7.3727239295320955e-06,0.00386537553052913,0.0004352376929702109,-4.5660701181805055e-05,5184,1700,500,100,0,2884,0,Failure
1317,4429,1135,3665,518148.73,1488645.17,44.95,556.0,102647.7,601354.0,0,0,0,0,0,3,1.2084583901773533,14.502469806922123,2.475488929981342,0.17069429986330847,23.176270038383382,135.77647324452474,2.922617847258146e-05,0.002975188506472634,0.00037349397371839793,8.675115347672473e-05,400,0,400,0,0,0,0,Success
