buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
147,406,58,96,77263.29,168673.16,5.77,426510.0,182907.64,408337168.0,0,0,0,0,0,1,4.229166666666667,0.9221766788965184,0.0004130732473513163,0.00044793287100428736,450.5114285714286,1005756.5714285715,5.467240187451984e-06,0.0024070219589174707,2.5286180682214052,7.467970882420358e-05,600,0,500,100,0,0,0,Success
87,377,101,284,18051.66,423011.54,1.1,1109.0,945406.27,10902685.0,0,0,0,0,0,1,1.3274647887323943,0.4474388984113676,0.0387988408359959,0.0867131601068911,2507.7089389920425,28919.588859416446,1.0577463168294832e-06,0.0008912286411855337,0.0026216778861399385,6.093622414780691e-05,11499,0,400,100,10999,0,0,2x
233,743,35,92,15692.98,280806.27,5.96,1931936.0,525236.41,2301588914.0,1,0,0,1,10,1,8.076086956521738,0.5346283400269224,0.0001220053973548119,0.00022820600447157004,706.9130686406461,3097697.057873486,1.9039045674689611e-06,0.002645952314383863,6.879960337067971,0.00037978765027419905,400,0,400,0,0,0,0,RSuccess
22,79,20,73,1813.3,5857.56,39.9,39.9,3224.19,1868795.0,1,0,1,1,0,8,1.082191780821918,1.8167539754170816,0.0031344047902525426,0.0017252775184008948,40.81253164556962,23655.632911392404,0.0024812433510432077,0.01348684435157301,0.00681170999528814,0.02200408095737054,300,0,300,0,0,0,0,3x
15,212,24,200,2915.7,29582.64,16.74,72.09,42168.32,135955.0,0,0,0,0,0,2,1.06,0.7015370780718796,0.2175914089220698,0.31016380419991907,198.90716981132076,641.2971698113207,4.742897037396795e-05,0.007166365138473105,0.002436902183172293,0.005741331412696779,400,0,400,0,0,0,0,2x
36,139,4,15,18074.92,73323.99,6.57,26.9,1148653.93,658413.0,0,0,0,0,0,1,9.266666666666667,0.06383470955433897,0.11136473611547767,1.744579663524262,8263.697338129496,4736.784172661871,8.705842324502385e-07,0.0018956960743680205,0.0003668649237446025,0.0003634870859732713,11499,0,400,100,10999,0,0,RSuccess
381,880,130,471,67301.53,222570.41,22.27,58286.0,84685.16,17635098.0,1,0,0,1,0,1,1.8683651804670913,2.628210302726003,0.012620877411625386,0.004802080487446115,96.23313636363636,20039.88409090909,1.1808444360263356e-05,0.0039538050004041415,0.26187667983358615,0.00033089886663795014,3400,3000,400,0,0,0,0,Success
67,339,29,253,7461.86,66296.1,-5.91,11.13,35757.92,96396.0,0,0,0,0,0,2,1.3399209486166008,1.8540256256516041,0.6877474169052659,0.3709481721233246,105.48058997050147,284.353982300885,5.593166492905628e-05,0.005113422961531673,0.0001678831786485178,-0.00079202772499082,400,0,400,0,0,0,0,4x
66,262,3,25,8468.24,51293.38,11.64,105.0,321041.77,234845.0,0,0,0,0,0,1,10.48,0.1597716708327393,0.21841376226873044,1.3670368540952544,1225.3502671755725,896.3549618320611,3.1148594776312126e-06,0.005107871620080408,0.002047047786673446,0.0013745477218406659,11499,0,400,100,10999,0,0,RSuccess
25,263,38,210,4589.63,51388.8,22.89,207.0,59332.35,266431.0,0,0,0,0,0,2,1.2523809523809524,0.866117724984768,0.19287845633578676,0.2226931175426283,225.59828897338403,1013.0456273764258,3.370842381938352e-05,0.00511784669032941,0.004028115075658509,0.00498733013336587,9686,0,400,0,0,7931,1355,2x
