buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,dayOfWeek,time,result,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol
33,688,81,690,13601.95,324599.34,20.45,175.0,76684.21,341668.0,1,0,0,1,0,2,2,1100,Failure,0.9971014492753624,4.232935828640603,0.9500431412950584,0.2244407143777,111.45960755813954,496.61046511627904,2.6080988511194155e-05,0.0021195360409543653
29,136,4,14,42187.9,132729.28,14.39,58.91,1285462.23,808691.0,0,0,0,0,0,1,3,361,Success,9.714285714285714,0.10325412672762856,0.16412854848143482,1.5895592135933254,9451.928161764707,5946.257352941177,7.779302858241117e-07,0.0010246420382902703
4,17,0,1,2108.57,6137.59,24.19,246.0,83801.8,1711701.0,0,0,0,0,0,1,3,361,Failure,17.0,0.07323935762716315,0.003585667122937943,0.048958200059473,4929.517647058824,100688.29411764706,1.1932917908684539e-05,0.0027698168173501325
664,2209,713,2208,260620.12,1025011.34,30.37,260.0,86423.11,440057.0,1,1,1,1,500,2,3,362,Failure,1.0004528985507246,11.860384797538527,2.329269480999052,0.19639071756613347,39.123182435491174,199.21095518334087,2.3141958210020445e-05,0.002155098108475561
4,104,28,132,2430.37,17863.84,-18.54,-15.17,33956.32,71962.0,0,0,0,0,0,2,3,362,Failure,0.7878787878787878,0.5260829206462891,0.24823990439398572,0.4718645952030238,326.50307692307695,691.9423076923077,5.889919755733248e-05,0.0058218165859076215
720,2140,698,1962,58014.07,188623.83,18.42,4339.0,34000.11,114692.0,0,0,0,0,0,1,3,362,Failure,1.09072375127421,5.5477417573060785,1.6446119171345865,0.29644709308408607,15.88790186915888,53.59439252336448,2.9411669550480865e-05,0.011345332135393498
39,333,59,392,9190.49,98022.01,-27.75,-70.96,20966.42,27092.0,0,0,0,0,0,2,3,363,Success,0.8494897959183674,4.675190614325192,3.618116418130813,0.7738970913922929,62.962222222222216,81.35735735735736,9.539062939691183e-05,0.0033971962011389075
1381,4320,1350,4113,228707.79,759946.67,-84.84,3117.0,18432.2,6395271.0,0,0,0,0,0,1,3,364,Failure,1.0503282275711159,41.229298184698514,0.11882947102632556,0.0028821608967000774,4.266712962962963,1480.3868055555556,5.425288354076019e-05,0.005684609421342684
0,96,12,139,29.83,28694.75,-1.18,-95.28,8663.29,4662.0,0,0,0,0,0,2,3,364,Failure,0.6906474820143885,3.3122231854180106,6.15503003003003,1.8582775632775634,90.24260416666668,48.5625,0.00023085917705629154,0.0033455597278247763
95,2251,1673,3405,96165.41,2624181.78,-98.32,-98.5,9338.35,4938.0,0,0,0,0,0,2,3,366,Failure,0.661086637298091,281.0112900030519,531.4260388821385,1.8911198865937626,4.148533984895602,2.193691692581075,0.0002141705975895099,0.0008577911854871579
0,116,4,128,325.67,62236.41,-12.33,-94.44,9723.27,5838.0,0,0,0,0,0,2,3,367,Failure,0.90625,6.400769494213367,10.6605704008222,1.665513874614594,83.82129310344828,50.327586206896555,0.000205692117980885,0.001863860720758154
